"GeneID"	"N4wkGK1"	"N4wkGK2"	"N4wkGK3"	"N4wkGK4"	"N4wkGK5"	"N8wkGK1"	"N8wkGK2"	"N8wkGK3"	"N8wkGK4"	"N8wkGK5"	"N12wkGK1"	"N12wkGK2"	"N12wkGK3"	"N12wkGK4"	"N12wkGK5"	"N16wkGK1"	"N16wkGK2"	"N16wkGK3"	"N16wkGK4"	"N16wkGK5"	"N20wkGK1"	"N20wkGK2"	"N20wkGK3"	"N20wkGK4"	"N20wkGK5"
499314	64.0209	45.1135	62.5998	60.4601	67.5533	75.8178	57.3919	52.8322	76.1992	59.4136	72.8792	63.3828	90.0133	62.9508	54.1011	79.295	71.7701	77.1722	65.8941	64.8128	66.6356	53.2858	60.4696	72.8712	67.3784
307805	19.22974667	11.35867333	21.47013667	11.34849667	23.35196667	9.914412333	2.221926667	10.16884667	14.9897	6.09274	4.366863333	4.222276667	6.555766667	8.095396667	8.529946667	5.878143333	5.066513333	8.647223333	4.781913333	9.293029333	2.126106667	5.10568	11.27696667	6.03412	5.669103333
294846	144.0528	160.9659	134.4059	161.978	160.12155	140.51195	159.99145	201.13195	136.9912	239.62695	226.93205	263.2265	227.93745	229.9448	191.4823	151.96105	208.98955	154.7973	271.22355	168.6696	187.92275	237.3327	262.76675	166.2837	199.85805
289457	40.3652	40.0845	42.2184	39.8757	32.3521	38.3358	30.7855	43.982	43.7143	34.3211	41.0186	43.0971	40.247	33.9796	40.4574	32.7337	35.3917	48.4703	34.2686	40.3076	43.8976	34.0434	42.2342	35.0118	62.0549
114850	4.87083	2.47677	4.86804	10.4578	2.86542	1.85018	1.92472	4.49134	4.92585	2.78827	5.26161	2.9956	15.201	8.28443	6.76103	3.54853	7.40756	4.82173	6.25108	3.08032	3.94429	5.45138	7.46554	7.99391	8.24561
360801	234.899	253.837	227.396	219.76	240.145	297.453	329.75	362.233	327.593	400.438	376.205	321.029	306.849	344.461	293.642	280.872	337.661	418.537	290.609	323.298	287.817	236.631	285.461	254.586	248.623
299732	1131	1045.53	933.83	1112.81	903.73	776.279	717.75	701.392	774.304	722.306	741.701	813.957	759.742	775.993	737.695	746.465	722.953	747.044	731.213	709.698	831.042	689.26	710.018	820.055	771.023
300860	270.543	249.3725	273.822	253.0145	295.995	290.75	263.142	222.8815	279.3055	253.59	245.456	240.642	271.9115	270.9645	257.2225	243.784	259.966	279.3995	251.4855	263.416	304.59	303.432	322.716	301.432	296.394
316214	78.4936	75.996	92.0961	102.932	84.1449	85.0942	75.6152	69.4996	93.3251	106.823	117.291	100.352	103.189	103.595	100.7	107.08	102.851	98.6063	122.033	65.4144	98.2658	88.627	74.479	96.3118	72.8055
25622	20.7522	32.4926	28.2001	27.7522	34.6928	34.8534	28.098	20.3887	49.5204	34.2213	30.5531	19.916	28.047	14.6331	21.7067	22.9277	9.2056	38.2345	31.3679	37.3772	4.21008	27.1534	41.3972	23.778	33.4807
171290	40.6885	35.0829	47.0766	35.2482	31.727	27.8312	24.9593	21.7142	17.9659	27.787	25.579	18.3733	25.184	13.7562	11.4699	17.0028	9.10263	35.4258	15.8343	20.9597	9.68767	21.4047	8.07893	22.9136	6.10076
