"GeneID"	"N4wkWT1"	"N4wkWT2"	"N4wkWT3"	"N4wkWT4"	"N4wkWT5"	"N8wkWT1"	"N8wkWT2"	"N8wkWT3"	"N8wkWT4"	"N8wkWT5"	"N12wkWT1"	"N12wkWT2"	"N12wkWT3"	"N12wkWT4"	"N12wkWT5"	"N16wkWT1"	"N16wkWT2"	"N16wkWT3"	"N16wkWT4"	"N16wkWT5"	"N20wkWT1"	"N20wkWT2"	"N20wkWT3"	"N20wkWT4"	"N20wkWT5"
171160	46.8923	43.2897	66.0227	69.1673	49.8999	52.6815	64.3263	49.024	52.8406	86.5815	58.1697	48.658	56.4279	48.1077	57.2478	43.1036	33.5723	49.645	72.0516	39.9186	48.6282	21.9928	45.3185	66.5348	77.3747
294012	323.39295	272.06525	280.944825	287.519925	298.4259	343.03965	308.707525	302.17345	344.807575	265.0792	405.436375	359.1492	434.104825	390.860025	369.420775	350.86855	362.0756	320.0422	398.35175	395.378075	372.89805	435.260475	348.386425	471.242975	467.220575
29499	1.836	1.78474	1.92004	3.84925	2.01473	1.47578	1.45571	2.33319	2.04798	3.44266	2.14025	1.15262	1.58488	1.7433	2.25291	1.2759	3.67253	3.88969	4.57736	2.5575	3.11392	1.94404	2.31238	9.62579	1.8702
25014	2696.88	2641.96	3319.4	3398.15	2558.94	2151.8	1625.63	1474.86	2427.66	1896.09	1235.07	2153.44	2265.15	1392.73	1477.33	1116.95	1354.9	1587.1	1419.91	1532.48	1357.78	1389.45	1687.19	1424.29	1748.53
29643	13.9339	1.02815	20.4531	14.5426	3.39724	2.74548	16.1303	19.957	6.71487	10.8666	17.1116	10.4658	4.51665	5.30699	1.08469	24.6235	10.9022	12.4812	10.2595	26.5946	9.79655	1.28841	20.7997	2.90555	11.2665
24833	18.06527	139.7164667	32.2375	34.65076667	80.158	58.85603333	11.84193	75.6823	30.9239	46.58113333	33.64546667	92.34536667	61.29626667	127.6050667	32.9481	58.52876667	27.2506	63.82213333	27.36133333	21.26662333	27.08176667	44.68006667	37.67453333	21.83215333	17.10432333
499171	50.21132	54.6134	70.56823333	85.36766667	52.04163333	51.78666667	66.6074	64.0225	61.9141	61.00166667	95.37353333	50.21536667	58.3815	49.4121	63.881	61.0525	66.69153333	31.80208	79.55123333	45.80666667	54.95303333	48.5067	58.8033	52.8868	79.45626667
25668	99.2493	77.8852	94.6317	93.01315	61.4925	81.8792	77.8474	34.47315	92.1592	68.1396	73.58175	70.66715	62.0571	63.36815	61.27605	55.07825	50.24485	43.3943	54.1559	62.22395	58.6041	55.5064	59.6591	58.2153	67.69145
314930	15.72622	14.51499	13.40085	21.12284	20.46673333	17.10193333	9.954403333	10.73383333	11.89725167	13.39638	17.16358	19.09042667	14.38013333	13.50125667	15.90775	11.68761533	11.32737067	12.96587667	10.73820667	6.804191	17.71029667	7.981173333	10.94832633	16.51277	8.466265
81641	1101.71	1061.52	1190.7	1290.47	1154.12	1104.39	1136.25	866.951	893.362	866.529	1213.03	1220.94	1303.56	1111.46	1223.29	1303.19	1233.53	1157.29	1364.35	1341.7	1125.63	1123.23	1059.04	1462.42	1504.66
298933	71.3893	73.1077	75.9214	71.6278	55.1775	58.2609	61.2637	19.5138	59.8558	67.0796	49.5728	74.3286	71.8733	53.7947	52.8521	42.1753	61.5299	35.9984	21.4591	68.1631	38.9057	96.519	47.4001	60.6999	78.1797
362681	60.0298	59.9429	44.9933	72.0626	67.123	22.4602	42.5127	52.1396	77.5553	42.9384	38.422	44.6192	40.2623	60.8834	31.3548	48.3694	44.5625	38.2875	34.2279	29.4473	49.2519	52.4272	51.2027	39.7243	31.8862
361745	68.34646667	80.69359667	51.7548	57.28138667	55.77399667	84.257223	108.306874	106.8857667	107.5427333	102.0013	104.9341667	141.8866667	108.7383143	129.7070367	109.50856	124.36007	128.2923	115.1379667	99.11361667	97.89646667	70.61214333	84.39235333	89.81201	112.084	111.2151467
294292	246.449	205.811	184.5225	217.1005	198.468	104.95085	107.4947	93.44685	111.42865	105.22575	83.96815	130.58835	132.6772	111.76565	113.1017	96.1773	104.5202	103.11065	103.1239	118.3518	95.8157	121.04365	79.0704	106.76135	119.53295
303373	9.88506	15.2162	2.32556	9.85849	31.2804	11.0853	20.1478	10.2835	14.7897	16.2165	10.8406	15.4913	3.19286	27.1776	9.8407	5.60739	16.3058	9.60381	5.72218	6.33084	10.7546	11.5805	5.82334	2.87768	5.01204
94204	480.95	437.548	568.665	498.131	564.873	410.608	431.489	261.512	331.931	310.484	337.781	475.386	438.879	429.514	462.098	369.412	402.881	505.148	374.681	477.405	422.501	421.794	441.417	496.718	468.52
290212	14.250555	14.33505	20.80762	38.50971	20.2942	42.17965	17.95726	18.49615	12.303	18.33502	18.3233	16.24375	10.705955	21.144	13.69766	23.942105	26.4709	24.20155	30.2353	8.30186	20.82845	15.7742	6.945785	9.54398	8.98936
