"id"	"X66_D0"	"X68_D0"	"X69_D0"	"X66_D4"	"X68_D4"	"X69_D4"	"X66_D7"	"X68_D7"	"X69_D7"	"X66_D28"	"X68_D28"	"X69_D28"
"ENSMMUG00000000333"	9	7	7	19	5	11	9	12	6	3	3	5
"ENSMMUG00000000335"	883	690	1007	4073	4226	5031	2744	2807	4157	469	772	379
"ENSMMUG00000000336"	324	184	254	427	407	466	236	163	198	169	305	76
"ENSMMUG00000000337"	2	0	0	0	0	1	0	1	1	0	0	0
"ENSMMUG00000000338"	6403	4009	4490	17532	12278	14481	13053	10771	16570	4061	5331	2550
"ENSMMUG00000000340"	328	185	268	337	299	338	106	85	125	438	509	160
"ENSMMUG00000000341"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000342"	0	0	1	0	2	0	1	1	1	0	0	0
"ENSMMUG00000000343"	0	2	2	0	1	2	0	1	1	0	3	0
"ENSMMUG00000000344"	6	0	3	1	1	10	2	1	0	0	0	5
"ENSMMUG00000000345"	116	104	117	72	67	80	71	49	60	106	152	62
"ENSMMUG00000000346"	0	0	1	1	1	3	5	2	1	0	0	0
"ENSMMUG00000000347"	1	0	2	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000348"	32	8	14	1	1	8	3	3	7	17	11	7
"ENSMMUG00000000350"	1411	699	1205	728	852	1080	567	505	441	1044	1050	462
"ENSMMUG00000000352"	10	35	19	25	22	23	40	50	55	6	10	19
"ENSMMUG00000000353"	0	0	0	2	1	0	0	0	0	1	0	0
"ENSMMUG00000000355"	0	0	1	0	0	2	0	1	0	0	0	0
"ENSMMUG00000000356"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000357"	38	190	53	82	40	27	30	20	10	49	29	33
"ENSMMUG00000000358"	577	252	575	415	390	470	421	414	399	567	528	221
"ENSMMUG00000000359"	1	1	1	0	1	1	1	3	2	2	5	0
"ENSMMUG00000000360"	6	3	7	7	4	10	2	1	3	11	10	6
"ENSMMUG00000000361"	9	0	0	2	4	4	3	0	3	0	2	0
