"id"	"X70_D0"	"X71_D0"	"X72_D0"	"X70_D4"	"X71_D4"	"X72_D4"	"X70_D7"	"X71_D7"	"X72_D7"	"X70_D28"	"X71_D28"	"X72_D28"
"ENSMMUG00000000267"	1889	1658	3360	1323	1961	4928	1508	2421	3860	1961	5158	2794
"ENSMMUG00000000268"	0	2	7	0	4	2	0	1	11	0	7	0
"ENSMMUG00000000270"	2	1	4	4	2	0	0	0	0	0	0	0
"ENSMMUG00000000271"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000272"	4	2	10	4	1	7	1	3	0	0	1	0
"ENSMMUG00000000273"	9	10	41	23	20	65	10	23	19	2	17	10
"ENSMMUG00000000274"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000275"	0	0	1	0	1	0	0	0	0	0	2	0
"ENSMMUG00000000276"	8	2	6	11	7	8	5	11	7	0	7	19
"ENSMMUG00000000277"	200	126	144	113	109	137	139	151	124	154	237	53
"ENSMMUG00000000278"	331	588	106	193	273	120	379	401	78	106	234	13
"ENSMMUG00000000281"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMMUG00000000283"	0	0	4	2	0	0	0	0	0	1	0	0
"ENSMMUG00000000284"	180	136	135	210	179	134	172	189	83	120	175	72
"ENSMMUG00000000286"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000287"	78	112	70	86	84	119	75	67	59	29	107	91
"ENSMMUG00000000288"	1	0	2	5	1	0	5	0	1	0	0	5
"ENSMMUG00000000289"	6	4	13	8	7	8	8	5	8	4	8	0
"ENSMMUG00000000290"	0	1	2	0	0	3	0	0	0	0	1	0
"ENSMMUG00000000291"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000292"	0	0	3	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000293"	0	1	13	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000294"	89	91	115	61	114	215	61	156	168	72	234	107
"ENSMMUG00000000295"	0	0	0	0	0	0	0	3	0	0	0	0
"ENSMMUG00000000296"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000297"	287	167	157	272	131	128	251	233	183	166	120	69
"ENSMMUG00000000298"	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000299"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000300"	11225	9870	6237	12169	9542	5774	13764	13097	5335	7286	12346	2505
"ENSMMUG00000000302"	284	1108	169	276	604	154	459	967	136	114	300	69
"ENSMMUG00000000304"	264	151	191	222	165	179	192	192	144	127	271	93
"ENSMMUG00000000305"	0	1	0	0	0	0	0	0	0	2	1	0
"ENSMMUG00000000306"	73	44	67	82	59	39	57	79	65	65	80	34
"ENSMMUG00000000307"	433	278	344	301	280	358	421	379	211	187	370	101
"ENSMMUG00000000308"	349	330	180	309	245	174	313	340	174	127	226	73
"ENSMMUG00000000309"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000310"	1	5	19	10	4	4	1	0	0	0	0	2
"ENSMMUG00000000311"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000312"	81	81	31	62	74	45	51	57	25	58	95	31
"ENSMMUG00000000313"	8	7	14	2	9	2	4	6	1	4	7	0
"ENSMMUG00000000314"	43	46	16	47	36	27	67	32	5	21	46	36
"ENSMMUG00000000315"	252	111	152	180	93	159	148	150	120	47	136	34
"ENSMMUG00000000316"	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000317"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000318"	6	4	10	4	0	10	3	6	0	4	4	5
"ENSMMUG00000000319"	65	70	136	94	95	147	80	153	52	23	129	51
"ENSMMUG00000000320"	15	21	19	13	18	47	13	67	52	16	34	5
"ENSMMUG00000000321"	163	107	85	135	131	101	148	140	95	86	158	25
"ENSMMUG00000000322"	45	36	112	60	40	123	58	80	100	42	128	78
"ENSMMUG00000000323"	111	85	308	169	119	318	68	176	286	74	215	126
"ENSMMUG00000000324"	0	0	1	0	0	1	0	0	1	1	2	1
"ENSMMUG00000000326"	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMMUG00000000327"	35	6	15	26	9	15	20	20	32	12	22	18
"ENSMMUG00000000328"	4	7	7	4	3	16	4	1	4	2	10	3
"ENSMMUG00000000329"	122	97	121	221	85	138	156	178	95	68	137	62
"ENSMMUG00000000330"	2390	1661	1193	2443	1397	1168	1769	1579	847	1092	1729	405
"ENSMMUG00000000331"	315	290	217	296	246	205	325	453	288	141	363	184
"ENSMMUG00000000332"	886	1016	977	1148	1834	1332	1426	2951	1454	923	1921	625
"ENSMMUG00000000333"	6	6	2	22	2	10	3	5	0	0	2	0
"ENSMMUG00000000335"	540	840	457	1200	804	508	1082	1103	460	258	417	100
"ENSMMUG00000000336"	198	183	132	242	241	238	243	273	171	122	200	58
"ENSMMUG00000000337"	0	0	7	0	0	0	1	1	0	0	0	0
"ENSMMUG00000000338"	4614	5594	2734	6992	5517	3296	6271	6952	3039	2481	4140	1257
"ENSMMUG00000000340"	397	217	309	353	196	307	424	325	199	325	369	167
"ENSMMUG00000000341"	0	0	3	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000342"	0	1	3	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000343"	2	1	0	0	0	0	2	0	0	0	0	0
"ENSMMUG00000000344"	9	6	4	6	4	5	1	2	2	0	3	0
"ENSMMUG00000000345"	135	78	114	84	93	86	126	114	128	44	185	36
"ENSMMUG00000000346"	0	1	2	1	0	0	0	0	0	1	0	0
"ENSMMUG00000000347"	0	0	0	0	0	5	0	1	0	0	0	1
"ENSMMUG00000000348"	14	10	25	20	7	3	17	7	6	5	13	0
"ENSMMUG00000000350"	1088	746	734	1140	619	814	953	738	553	578	844	371
"ENSMMUG00000000352"	20	16	11	4	5	3	11	8	23	3	3	17
"ENSMMUG00000000353"	2	0	0	0	1	0	1	0	0	0	0	0
"ENSMMUG00000000355"	0	0	1	0	3	4	0	0	0	0	0	0
"ENSMMUG00000000356"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000357"	92	191	43	60	119	28	89	142	25	17	101	17
"ENSMMUG00000000358"	217	158	452	244	162	355	152	252	268	115	238	127
"ENSMMUG00000000359"	0	0	4	1	0	1	2	1	1	0	0	0
"ENSMMUG00000000360"	12	8	6	1	13	11	7	5	8	2	5	5
"ENSMMUG00000000361"	0	4	3	2	1	0	2	10	0	11	0	0
"ENSMMUG00000000362"	35	37	56	34	23	52	47	30	23	11	27	0
"ENSMMUG00000000364"	233	143	289	199	169	432	266	386	313	280	389	152
"ENSMMUG00000000366"	1062	1111	832	1645	1396	726	1213	1676	929	1687	2372	2010
"ENSMMUG00000000368"	0	0	6	2	3	1	1	0	1	0	5	0
"ENSMMUG00000000369"	1	4	1	7	0	5	2	2	1	0	0	0
"ENSMMUG00000000371"	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000372"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000373"	39	27	58	54	30	63	34	24	72	39	79	38
"ENSMMUG00000000375"	0	0	11	0	0	0	1	0	0	9	4	0
"ENSMMUG00000000376"	185	83	201	218	96	263	173	258	234	158	378	148
"ENSMMUG00000000377"	163	349	239	595	316	324	291	509	245	59	185	60
"ENSMMUG00000000378"	55	53	14	48	61	16	59	67	27	15	55	7
"ENSMMUG00000000379"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMMUG00000000380"	639	387	476	489	435	564	556	678	505	433	669	244
"ENSMMUG00000000381"	533	720	432	415	780	425	398	639	350	319	1297	219
"ENSMMUG00000000382"	89	77	143	74	61	193	105	54	135	49	92	84
"ENSMMUG00000000383"	222	249	145	415	241	166	265	217	93	136	185	60
"ENSMMUG00000000384"	0	0	0	0	1	5	1	0	0	0	1	0
"ENSMMUG00000000386"	870	562	429	526	340	478	609	425	431	327	495	223
"ENSMMUG00000000387"	883	821	1087	730	875	963	810	1024	794	354	1063	469
"ENSMMUG00000000388"	248	238	639	371	277	509	185	383	443	207	428	183
"ENSMMUG00000000389"	66	60	133	87	61	120	60	135	73	66	116	58
"ENSMMUG00000000390"	189	180	170	187	134	239	153	185	149	120	171	27
"ENSMMUG00000000391"	77	68	84	138	64	73	58	75	62	54	68	8
